,marketType,userType,individualGroup,dtYearMonth,eventSum,costOfPerson
104,소매,내국인관광객,개별,201707,1673152,2125787
105,문화/레져,중국인관광객,단체,201707,778312,850576
106,문화/레져,중국인관광객,개별,201707,267687,281777
107,문화/레져,내국인관광객,개별,201707,1680763,2204940
108,기타,중국인관광객,단체,201707,10053493,12727956
109,기타,중국인관광객,개별,201707,708431,801734
110,기타,내국인관광객,개별,201707,1981927,3057892
111,교통,중국인관광객,단체,201707,18138,19272
112,교통,중국인관광객,개별,201707,446470,478243
113,교통,내국인관광객,개별,201707,1917091,2205445
114,유흥,중국인관광객,단체,201706,142696,155908
115,유흥,중국인관광객,개별,201706,55750,55750
116,유흥,내국인관광객,개별,201706,3698449,5130264
117,식음료,중국인관광객,단체,201706,1137837,1306993
118,식음료,중국인관광객,개별,201706,910986,1172997
119,식음료,내국인관광객,개별,201706,1477429,2191181
120,숙박,중국인관광객,개별,201706,11421888,12013201
121,숙박,내국인관광객,개별,201706,3408991,4280079
122,쇼핑,중국인관광객,단체,201706,1462289,3181060
123,쇼핑,중국인관광객,개별,201706,1136317,2286486
124,쇼핑,내국인관광객,개별,201706,708682,1537663
125,소매,중국인관광객,단체,201706,3287426,4213376
126,소매,중국인관광객,개별,201706,1046498,1450315
127,소매,내국인관광객,개별,201706,1820957,2316296
128,문화/레져,중국인관광객,단체,201706,486629,529130
129,문화/레져,중국인관광객,개별,201706,66781,79720
130,문화/레져,내국인관광객,개별,201706,1717222,2206174
131,기타,중국인관광객,단체,201706,3984588,4505244
132,기타,중국인관광객,개별,201706,418289,553949
133,기타,내국인관광객,개별,201706,2021702,3164252
134,교통,중국인관광객,단체,201706,12607,13092
135,교통,중국인관광객,개별,201706,323955,356044
136,교통,내국인관광객,개별,201706,1680591,1950557
137,유흥,중국인관광객,단체,201705,278882,292826
138,유흥,중국인관광객,개별,201705,96725,96725
139,유흥,내국인관광객,개별,201705,3441839,4890577
140,식음료,중국인관광객,단체,201705,1546637,1898691
141,식음료,중국인관광객,개별,201705,1028711,1240627
142,식음료,내국인관광객,개별,201705,1472278,2186781
143,숙박,중국인관광객,개별,201705,8774557,10126956
144,숙박,내국인관광객,개별,201705,3505080,4335126
145,쇼핑,중국인관광객,단체,201705,1443674,3012348
146,쇼핑,중국인관광객,개별,201705,886296,1795902
147,쇼핑,내국인관광객,개별,201705,724167,1581490
148,소매,중국인관광객,단체,201705,3797320,4574329
149,소매,중국인관광객,개별,201705,1066988,1651428
150,소매,내국인관광객,개별,201705,1893369,2415110
151,문화/레져,중국인관광객,단체,201705,449502,468346
152,문화/레져,중국인관광객,개별,201705,48743,48743
153,문화/레져,내국인관광객,개별,201705,1816638,2402484
154,기타,중국인관광객,단체,201705,1811753,1987556
155,기타,중국인관광객,개별,201705,239498,278033
156,기타,내국인관광객,개별,201705,1982630,3103005
157,교통,중국인관광객,단체,201705,23700,25017
158,교통,중국인관광객,개별,201705,199399,247961
159,교통,내국인관광객,개별,201705,1756458,2045200
160,유흥,중국인관광객,단체,201704,81122,81122
161,유흥,중국인관광객,개별,201704,260191,286210
162,유흥,내국인관광객,개별,201704,4039396,5487174
163,식음료,중국인관광객,단체,201704,1457420,1690581
164,식음료,중국인관광객,개별,201704,921598,1284829
