,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
66,제주도,제주시,읍면,숙박,내국인관광객,30대,남,201812,479,673,50017075
67,제주도,제주시,읍면,숙박,내국인관광객,20대미만,여,201812,7,9,113220
68,제주도,제주시,읍면,숙박,내국인관광객,20대미만,남,201812,18,23,1438600
69,제주도,제주시,읍면,숙박,내국인관광객,20대,여,201812,374,417,22011699
70,제주도,제주시,읍면,숙박,내국인관광객,20대,남,201812,292,351,20634113
71,제주도,제주시,읍면,쇼핑,제주도민,60대이상,여,201812,1582,5203,206633645
72,제주도,제주시,읍면,쇼핑,제주도민,60대이상,남,201812,2788,9280,325061286
73,제주도,제주시,읍면,쇼핑,제주도민,50대,여,201812,2858,9611,334957857
74,제주도,제주시,읍면,쇼핑,제주도민,50대,남,201812,4703,16323,380996152
75,제주도,제주시,읍면,쇼핑,제주도민,40대,여,201812,3648,12876,306738635
76,제주도,제주시,읍면,쇼핑,제주도민,40대,남,201812,6228,22235,397200573
77,제주도,제주시,읍면,쇼핑,제주도민,30대,여,201812,2667,8946,175275932
78,제주도,제주시,읍면,쇼핑,제주도민,30대,남,201812,4522,15748,240466187
79,제주도,제주시,읍면,쇼핑,제주도민,20대미만,여,201812,139,455,2052150
80,제주도,제주시,읍면,쇼핑,제주도민,20대미만,남,201812,200,799,4063460
81,제주도,제주시,읍면,쇼핑,제주도민,20대,여,201812,1653,4746,52189720
82,제주도,제주시,읍면,쇼핑,제주도민,20대,남,201812,2574,9303,92025830
83,제주도,제주시,읍면,쇼핑,내국인관광객,60대이상,여,201812,861,2059,52438060
84,제주도,제주시,읍면,쇼핑,내국인관광객,60대이상,남,201812,1489,3762,77651290
85,제주도,제주시,읍면,쇼핑,내국인관광객,50대,여,201812,1850,3913,75992540
86,제주도,제주시,읍면,쇼핑,내국인관광객,50대,남,201812,3388,7895,145519930
87,제주도,제주시,읍면,쇼핑,내국인관광객,40대,여,201812,2593,5300,99499290
88,제주도,제주시,읍면,쇼핑,내국인관광객,40대,남,201812,4618,11726,193623523
89,제주도,제주시,읍면,쇼핑,내국인관광객,30대,여,201812,3689,6698,108961860
90,제주도,제주시,읍면,쇼핑,내국인관광객,30대,남,201812,5290,11327,158404000
91,제주도,제주시,읍면,쇼핑,내국인관광객,20대미만,여,201812,90,155,1398450
92,제주도,제주시,읍면,쇼핑,내국인관광객,20대미만,남,201812,110,256,3069910
93,제주도,제주시,읍면,쇼핑,내국인관광객,20대,여,201812,4314,7380,78250520
94,제주도,제주시,읍면,쇼핑,내국인관광객,20대,남,201812,4298,8487,88237800
95,제주도,제주시,읍면,소매,제주도민,60대이상,여,201812,352,499,45362418
96,제주도,제주시,읍면,소매,제주도민,60대이상,남,201812,455,674,54944468
